COD_PRODUCTO,DIVISION,PROVEEDOR,LINEA,FAMILIA,PRODUCTO
0000051432,Absorbentes,ZAIMELLA,Incontinencia,Confort Total,Prudential Comfort Total M 4x20
0000051433,Absorbentes,ZAIMELLA,Incontinencia,Confort Total,Prudential Comfort Total G 4x20
0000051431,Absorbentes,ZAIMELLA,Protector de cama,Protector de cama,Protector de Cama Prudential F6x20
0000051443,Absorbentes,ZAIMELLA,Incontinencia,Invisible,Prudential Invisible Mod S/M 4x18
0000051437,Absorbentes,ZAIMELLA,Pañales niños,Panolini,Panolini Premium Sec XG/E4 6x36
0000050556,Absorbentes,ZAIMELLA,Proteccion femenina,Maternity,Toallas Sanitarias Maxi Maternity Exgran X10
